outer_split,no_of_layers,no_of_nodes,batch_size,learning_rate,loss_function,mae,mse,r2
0,1,[5],34,0.029194,mae,0.028205,0.001248,0.333451
1,1,[3],35,0.04503,mse,0.030152,0.001535,0.505411
2,1,[6],35,0.023675,mse,0.033473,0.001875,0.359559
3,3,"[2, 7, 6]",42,0.012075,mse,0.041472,0.002707,0.42975
4,1,[5],35,0.098566,mse,0.042735,0.002527,-0.595766
