model,dataset,Min,Max,Mean
ANN,Full,0.000822,0.00258,0.001606
ANN,Reduced,0.001248,0.002707,0.001978
SAR,FE,0.0012,0.0036,0.00202
SAR,Reduced,0.0015,0.0039,0.00228
GWR,Reduced,0.002275,0.005164,0.003661
ANN,FE,0.001384,34282500.964439,6856500.194506
