outer_split,no_of_layers,no_of_nodes,batch_size,learning_rate,loss_function,mae,mse,r2
0,2,"[26, 30]",20,0.045979,mae,0.02989,0.001395,0.25492
1,2,"[23, 22]",17,0.057087,mse,0.025643,0.001384,0.553897
2,3,"[19, 15, 29]",36,0.056168,mae,0.04239,0.002932,-0.001613
3,2,"[15, 16]",46,0.069274,mse,0.034452,0.002379,0.498895
4,4,"[14, 27, 16, 8]",49,0.038735,mse,258.53549,34282500.964439,-21645689183.54926
