0,Feature,VIF
All predictors,,
,f76,9007199254740992.0
,f77,inf
,f78,inf
,f79,9007199254740992.0
,f80,inf
,f81,inf
,f82,inf
,f83,9007199254740992.0
,f84,inf
,f85,inf
,f86,9007199254740992.0
,f87,inf
,f88,inf
,f89,inf
,f90,inf
,m0,9007199254740992.0
,m1,inf
,m2,inf
,m3,inf
,m4,inf
,m5,inf
,m6,inf
,m7,inf
,m8,9007199254740992.0
,m9,inf
,m10,9007199254740992.0
,m11,inf
,m12,inf
,m13,inf
,m14,inf
,m15,inf
,m16,inf
,m17,inf
,m18,inf
,m19,inf
,m20,inf
,m21,inf
,m22,inf
,m23,inf
,m24,inf
,m25,inf
,m26,inf
,m27,inf
,m28,inf
,m29,inf
,m30,inf
,m31,inf
,m32,inf
,m33,inf
,m34,inf
,m35,inf
,m36,inf
,m37,inf
,m38,inf
,m39,inf
,m40,inf
,m41,inf
,m42,inf
,m43,9007199254740992.0
,m44,inf
,m45,inf
,m46,inf
,m47,inf
,m48,inf
,m49,inf
,m50,inf
,m51,inf
,m52,9007199254740992.0
,m53,inf
,m54,inf
,m55,inf
,m56,inf
,m57,inf
,m58,9007199254740992.0
,m59,9007199254740992.0
,m60,9007199254740992.0
,m61,inf
,m62,inf
,m63,inf
,m64,inf
,m65,inf
,m66,inf
,m67,9007199254740992.0
,m68,9007199254740992.0
,m69,inf
,m70,inf
,m71,4503599627370496.0
,m72,inf
,m73,inf
,m74,inf
,m75,inf
,m76,9007199254740992.0
,m77,inf
,m78,inf
,m79,inf
,m80,9007199254740992.0
,m81,inf
,m82,inf
,m83,inf
,m84,inf
,m85,inf
,m86,9007199254740992.0
,m87,9007199254740992.0
,m88,inf
,m89,9007199254740992.0
,m90,inf
,white_british,inf
,white_irish,inf
,white_gypsy/irish_traveller,inf
,white_roma,inf
,white_other,inf
,mixed_white_and_asian,inf
,mixed_white_and_black_african,inf
,mixed_white_and_black_caribbean,inf
,mixed_other,inf
,asian_bangladeshi,inf
,asian_chinese,inf
,asian_indian,inf
,asian_pakistani,inf
,asian_other,inf
,black_african,inf
,black_caribbean,inf
,black_other,inf
,other_arab,inf
,any_other,inf
,imd,3.819259921585221
,greenspace_proportion,1.1680440200450648
With feature engineering,,
,imd,1.619385434100694
,greenspace_proportion,1.0506952845806345
,mean_age,1.6652538043482694
,f_m_ratio,1.1443076324566697
,prevalent_any_other,1.1230204876663974
,prevalent_asian_bangladeshi,8.81357052796417
,prevalent_asian_indian,22.199620988687204
,prevalent_asian_other,2.093068641516479
,prevalent_asian_pakistani,3.2364341138990476
,prevalent_black_african,13.879556074916161
,prevalent_black_caribbean,2.230322117673714
,prevalent_other_arab,1.3807016739819755
,prevalent_white_british,231.76456324704924
,prevalent_white_other,19.461769272596364
Without high VIF ethnicity cols,,
,imd,6.869513616104016
,greenspace_proportion,1.6520287622991112
,mean_age,101.52822067309785
,f_m_ratio,76.82770328001664
,prevalent_any_other,1.001222683829101
,prevalent_asian_bangladeshi,1.0498752609470752
,prevalent_asian_other,1.0041973133504665
,prevalent_asian_pakistani,1.009873877380364
,prevalent_black_caribbean,1.0078226258460916
,prevalent_other_arab,1.0037556842544326
Without mean age,,
,imd,4.436913006210933
,greenspace_proportion,1.599133186512932
,f_m_ratio,4.90515208336772
,prevalent_any_other,1.0008826878995534
,prevalent_asian_bangladeshi,1.049575035678597
,prevalent_asian_other,1.003987309307168
,prevalent_asian_pakistani,1.0088892307868071
,prevalent_black_caribbean,1.0070559642045462
,prevalent_other_arab,1.003472834157674
