Feature,VIF
white_british,72351.34611239943
white_irish,192.8104803701685
white_gypsy/irish_traveller,2.922503207441875
white_roma,16.790978920902287
white_other,10304.903065213117
mixed_white_and_asian,102.94604771945136
mixed_white_and_black_african,45.70203915064242
mixed_white_and_black_caribbean,128.54499695177662
mixed_other,181.3488175277053
asian_bangladeshi,2513.6356278316407
asian_chinese,182.35375103027292
asian_indian,5351.121740588579
asian_pakistani,1160.191801426984
asian_other,1213.752262722473
black_african,4080.2161810692096
black_caribbean,1138.2224016386212
black_other,196.75697799656
other_arab,276.8180251322829
any_other,1262.492263235354
imd,3.3880640584685238
greenspace_proportion,1.1209542598248414
x_coord,2.1070032900764137
y_coord,1.99224308917244
mean_age,2.045832536562291
f_m_ratio,1.2219306955431417
